Session,CCS,Arrival,Departure,Stay (min),Energy (Wh),Pmax (W),Preq_max (W),"Controlled session (0=False, 1=True)",TotalCapacity,BulkCapacity,SOC arrival,SOC departure,Energy capacity (Wh)
797,CCS1,4/1/2023 2:17,4/1/2023 2:31,15,10927.0,74865,91782,0,10000,8299,51,88,28056
866,CCS1,4/16/2023 13:37,4/16/2023 13:51,15,16910.0,87930,224907,1,10000,8000,17,38,76498
994,CCS1,6/6/2023 15:43,6/6/2023 15:57,15,18345.0,95448,160245,0,10000,8000,34,60,67030
1078,CCS1,6/25/2023 20:04,6/25/2023 20:18,15,18586.0,104658,110514,1,50000,40000,12,53,43065
1119,CCS1,7/1/2023 23:59,7/2/2023 0:13,15,8565.0,75987,91782,0,10000,8299,65,94,28067
1135,CCS2,4/14/2022 12:00,4/14/2022 12:14,15,11010.0,54897,122046,1,42000,33600,21,48,38739
1220,CCS2,5/26/2022 11:16,5/26/2022 11:30,15,28377.0,164334,270597,1,10000,8000,33,58,107833
1232,CCS2,6/5/2022 19:36,6/5/2022 19:50,15,28086.0,147213,366837,1,10000,8000,10,42,83380
1295,CCS2,7/14/2022 18:51,7/14/2022 19:05,15,28472.0,165756,176505,1,10000,8000,47,80,81940
1378,CCS2,10/20/2022 19:50,10/20/2022 20:04,15,26913.0,143949,159210,0,10000,8000,11,46,73050
1445,CCS2,11/4/2022 14:33,11/4/2022 14:47,15,12313.0,67923,109479,1,50000,40000,28,57,40338
1462,CCS2,11/11/2022 14:12,11/11/2022 14:26,15,15780.0,91419,176505,1,10000,8000,60,82,68141
1486,CCS2,11/16/2022 8:25,11/16/2022 8:39,15,27090.0,139890,176505,1,10000,8000,51,79,91912
1524,CCS2,12/6/2022 11:34,12/6/2022 11:48,15,12421.0,61965,159210,1,10000,8000,34,49,78666
1661,CCS2,4/1/2023 17:53,4/1/2023 18:07,15,15487.0,85743,159210,1,10000,8000,24,44,73563
1736,CCS2,5/11/2023 14:14,5/11/2023 14:28,15,17336.0,102954,176505,1,10000,8000,72,91,86634
1742,CCS2,5/11/2023 20:27,5/11/2023 20:41,15,12343.0,65322,178383,1,10000,8000,35,58,50982
1774,CCS2,5/23/2023 13:45,5/23/2023 13:59,15,16105.0,159582,176505,1,10000,8000,26,46,76499
69,CCS1,5/17/2022 14:40,5/17/2022 14:55,16,19861.0,95379,353265,1,10000,8000,21,47,72597
124,CCS1,5/26/2022 12:32,5/26/2022 12:47,16,26038.0,155859,353265,1,10000,8000,32,65,74958
142,CCS1,6/5/2022 20:08,6/5/2022 20:23,16,12828.0,66264,192417,1,80440,64352,67,80,93736
195,CCS1,6/16/2022 11:03,6/16/2022 11:18,16,8830.0,52872,192417,1,80440,64352,81,90,93200
215,CCS1,6/19/2022 11:12,6/19/2022 11:27,16,17608.0,84933,93630,0,10000,8000,25,46,79655
241,CCS1,7/16/2022 13:09,7/16/2022 13:24,16,11356.0,63855,353265,1,10000,8000,79,93,77059
275,CCS1,8/11/2022 17:54,8/11/2022 18:09,16,14674.0,96726,250149,1,10000,8000,19,32,107233
479,CCS1,11/8/2022 19:38,11/8/2022 19:53,16,17803.0,93903,353265,1,10000,8000,50,71,80537
504,CCS1,11/12/2022 10:43,11/12/2022 10:58,16,17518.0,118170,192417,1,79200,63360,40,60,83211
579,CCS1,11/22/2022 21:01,11/22/2022 21:16,16,7619.0,55539,58836,0,10000,8000,81,97,45238
640,CCS1,2/26/2023 14:14,2/26/2023 14:29,16,9271.0,47163,160245,0,10000,8000,48,59,80141
655,CCS1,3/1/2023 5:47,3/1/2023 6:02,16,26776.0,131034,177540,1,10000,8000,48,77,87714
903,CCS1,4/23/2023 16:37,4/23/2023 16:52,16,20913.0,141366,275928,1,10000,8000,14,39,79469
918,CCS1,5/8/2023 13:11,5/8/2023 13:26,16,22678.0,134991,353265,1,10000,8000,37,64,79793
922,CCS1,5/8/2023 19:12,5/8/2023 19:27,16,16252.0,111354,142737,0,10000,8000,12,39,57183
925,CCS1,5/10/2023 8:40,5/10/2023 8:55,16,15564.0,77958,123081,0,42000,33600,23,62,37912
935,CCS1,5/12/2023 11:15,5/12/2023 11:30,16,13386.0,65802,353265,1,10000,8000,62,79,74804
943,CCS1,5/14/2023 16:08,5/14/2023 16:23,16,22007.0,127521,229743,1,10000,8000,12,45,63353
968,CCS1,5/21/2023 15:50,5/21/2023 16:05,16,8568.0,49512,51600,0,10000,8000,44,90,17695
999,CCS1,6/8/2023 12:24,6/8/2023 12:39,16,22072.0,139992,353265,1,10000,8000,30,58,74887
1164,CCS2,4/22/2022 21:00,4/22/2022 21:15,16,14938.0,67644,174624,1,10000,8000,14,38,59130
1188,CCS2,5/17/2022 14:41,5/17/2022 14:56,16,13763.0,63366,159210,1,10000,8000,64,81,76911
1271,CCS2,6/16/2022 17:09,6/16/2022 17:24,16,24473.0,165075,191382,1,79340,63472,17,45,83030
1341,CCS2,10/14/2022 7:56,10/14/2022 8:11,16,9784.0,44385,51612,0,10000,8000,31,61,30983
1412,CCS2,10/29/2022 15:45,10/29/2022 16:00,16,26038.0,159180,352230,1,10000,8000,35,68,74958
1451,CCS2,11/9/2022 15:29,11/9/2022 15:44,16,16320.0,88464,109479,0,50000,40000,21,54,46982
1531,CCS2,2/16/2023 15:41,2/16/2023 15:56,16,9625.0,51282,56445,0,10000,8000,20,53,27708
1564,CCS2,3/1/2023 16:51,3/1/2023 17:06,16,13004.0,66726,176505,1,10000,8000,14,29,82359
1664,CCS2,4/2/2023 18:29,4/2/2023 18:44,16,13564.0,74841,90747,0,10000,8299,29,78,26298
1672,CCS2,4/5/2023 13:40,4/5/2023 13:55,16,10642.0,53250,366837,1,10000,8000,76,85,112332
1722,CCS2,5/1/2023 18:01,5/1/2023 18:16,16,23180.0,112806,178383,1,10000,8000,4,44,55053
9,CCS1,4/14/2022 15:11,4/14/2022 15:27,17,20307.0,109419,367872,1,10000,8000,68,89,91865
38,CCS1,4/22/2022 12:53,4/22/2022 13:09,17,18148.0,101142,232965,1,10000,8000,16,44,61574
71,CCS1,5/17/2022 18:49,5/17/2022 19:05,17,19378.0,109308,192417,1,78900,63120,54,75,87662
86,CCS1,5/20/2022 15:35,5/20/2022 15:51,17,17472.0,81312,93630,1,10000,8000,40,62,75447
127,CCS1,6/3/2022 19:34,6/3/2022 19:50,17,33841.0,171663,177540,1,10000,8000,53,90,86889
155,CCS1,6/8/2022 9:09,6/8/2022 9:25,17,20090.0,86076,93630,0,10000,8000,16,43,70687
214,CCS1,6/19/2022 9:02,6/19/2022 9:18,17,13569.0,63858,179418,1,10000,8000,42,67,51562
237,CCS1,7/15/2022 11:41,7/15/2022 11:57,17,22348.0,131763,271632,1,10000,8000,74,90,132691
262,CCS1,7/19/2022 23:19,7/19/2022 23:35,17,12139.0,53430,57480,0,10000,8000,22,62,28830
318,CCS1,10/17/2022 14:48,10/17/2022 15:04,17,17317.2,144012,278007,1,10000,8000,23,40,96773
364,CCS1,10/25/2022 8:46,10/25/2022 9:02,17,15375.0,70314,160245,0,10000,8000,32,53,69554
378,CCS1,10/27/2022 13:10,10/27/2022 13:26,17,18558.0,92655,110514,0,50000,40000,13,52,45205
487,CCS1,11/10/2022 16:16,11/10/2022 16:32,17,22376.0,93831,224907,1,10000,8000,12,41,73301
500,CCS1,11/11/2022 17:49,11/11/2022 18:05,17,14011.0,85899,252297,1,10000,8000,28,53,53242
526,CCS1,11/15/2022 15:21,11/15/2022 15:37,17,11745.0,53454,252297,1,10000,8000,51,70,58725
601,CCS1,2/15/2023 17:10,2/15/2023 17:26,17,34538.0,164595,175659,1,10000,8000,12,54,78122
605,CCS1,2/16/2023 17:29,2/16/2023 17:45,17,11933.0,60240,224907,1,10000,8000,19,33,80974
632,CCS1,2/24/2023 15:11,2/24/2023 15:27,17,14190.0,68655,353265,1,10000,8000,67,84,79297
643,CCS1,2/26/2023 23:02,2/26/2023 23:18,17,14522.0,75576,160245,1,10000,8000,16,33,81152
644,CCS1,2/27/2023 6:20,2/27/2023 6:36,17,14446.0,68394,179418,1,10000,8000,23,49,52783
763,CCS1,3/26/2023 11:11,3/26/2023 11:27,17,27502.0,153705,353265,1,10000,8000,16,49,79172
792,CCS1,3/31/2023 7:35,3/31/2023 7:51,17,6251.0,43992,229743,1,10000,8000,61,71,59385
862,CCS1,4/15/2023 12:30,4/15/2023 12:46,17,16372.0,76560,353265,1,10000,8000,53,72,81903
883,CCS1,4/19/2023 15:02,4/19/2023 15:18,17,20335.0,152376,252297,1,10000,8000,16,58,45996
907,CCS1,5/1/2023 12:46,5/1/2023 13:02,17,4428.2,29664,37500,0,10000,8000,94,99,83968
957,CCS1,5/18/2023 5:29,5/18/2023 5:45,17,9657.0,45603,224907,1,10000,8000,78,87,101935
987,CCS1,5/29/2023 13:59,5/29/2023 14:15,17,20207.0,118590,224907,1,10000,8000,14,54,47992
1042,CCS1,6/18/2023 13:30,6/18/2023 13:46,17,29320.0,129135,222222,1,10000,8000,38,75,75281
1045,CCS1,6/18/2023 15:49,6/18/2023 16:05,17,28584.0,159534,353265,1,10000,8000,16,54,71460
1131,CCS2,4/12/2022 19:45,4/12/2022 20:01,17,12971.3,68916,75300,0,10000,8000,72,88,76969
1215,CCS2,5/25/2022 12:30,5/25/2022 12:46,17,15081.0,63060,224409,1,10000,8000,64,80,89543
1266,CCS2,6/15/2022 19:52,6/15/2022 20:08,17,33636.0,144165,259791,1,10000,8000,38,78,79886
1300,CCS2,7/15/2022 12:53,7/15/2022 13:09,17,32206.0,146436,259791,1,10000,8000,42,81,78451
1302,CCS2,7/16/2022 10:31,7/16/2022 10:47,17,28578.0,139746,259791,1,10000,8000,48,84,75414
1379,CCS2,10/21/2022 10:26,10/21/2022 10:42,17,14112.0,59814,352230,1,10000,8000,2,18,83842
1380,CCS2,10/21/2022 13:21,10/21/2022 13:37,17,20414.0,102651,159210,0,10000,8000,33,61,69262
1464,CCS2,11/11/2022 16:40,11/11/2022 16:56,17,11676.4,60216,366837,1,10000,8000,13,23,110925
1475,CCS2,11/13/2022 23:29,11/13/2022 23:45,17,25533.0,121434,223872,1,10000,8000,18,50,75777
1480,CCS2,11/15/2022 13:04,11/15/2022 13:20,17,2904.0,33648,55800,0,10000,8000,67,83,17253
1611,CCS2,3/18/2023 14:29,3/18/2023 14:45,17,25040.0,143151,352230,1,10000,8000,28,60,74338
1614,CCS2,3/19/2023 22:23,3/19/2023 22:39,17,18769.0,86754,223872,1,10000,8000,13,49,49529
1641,CCS2,3/28/2023 11:28,3/28/2023 11:44,17,15394.0,68793,176505,1,10000,8000,40,58,81246
1679,CCS2,4/6/2023 22:09,4/6/2023 22:25,17,23151.0,105252,159210,0,10000,8000,17,46,75839
1688,CCS2,4/8/2023 19:00,4/8/2023 19:16,17,14253.0,60405,92595,0,10000,8000,32,49,79649
1743,CCS2,5/12/2023 9:16,5/12/2023 9:32,17,35427.0,169242,176505,1,10000,8000,41,80,86297
1760,CCS2,5/17/2023 20:05,5/17/2023 20:21,17,10788.0,57804,66516,0,18700,14960,35,51,64054
1790,CCS2,6/7/2023 18:40,6/7/2023 18:56,17,34704.0,163629,176505,1,10000,8000,19,59,82443
1806,CCS2,6/13/2023 15:35,6/13/2023 15:51,17,20649.0,106935,110700,0,50000,40000,15,60,43592
1820,CCS2,6/18/2023 15:57,6/18/2023 16:13,17,26993.0,169152,176505,1,10000,8000,38,69,82747
56,CCS1,4/27/2022 11:06,4/27/2022 11:23,18,21954.0,148875,367872,1,10000,8000,26,48,94801
70,CCS1,5/17/2022 16:58,5/17/2022 17:15,18,11189.4,56571,65100,0,80440,64352,78,90,88581
77,CCS1,5/18/2022 19:02,5/18/2022 19:19,18,30046.0,168054,177540,1,10000,8000,63,95,89199
93,CCS1,5/21/2022 13:48,5/21/2022 14:05,18,12453.0,53325,57480,0,10000,8000,11,54,27512
94,CCS1,5/21/2022 16:21,5/21/2022 16:38,18,25730.0,154788,271632,1,10000,8000,9,32,106230
121,CCS1,5/25/2022 19:25,5/25/2022 19:42,18,26552.0,158088,229743,1,10000,8000,16,67,49460
157,CCS1,6/8/2022 11:03,6/8/2022 11:20,18,16047.0,84819,224907,1,10000,8000,32,67,43556
189,CCS1,6/15/2022 12:18,6/15/2022 12:35,18,21873.0,129792,225444,1,10000,8000,57,80,90306
297,CCS1,10/14/2022 15:45,10/14/2022 16:02,18,29404.0,151899,192417,1,68440,54752,31,72,68132
396,CCS1,10/29/2022 22:15,10/29/2022 22:32,18,19905.0,93651,353265,1,10000,8000,48,71,82216
413,CCS1,11/1/2022 12:21,11/1/2022 12:38,18,33302.0,157824,353265,1,10000,8000,18,58,79072
447,CCS1,11/5/2022 18:17,11/5/2022 18:34,18,41613.0,166851,177540,1,10000,8000,10,59,80695
478,CCS1,11/8/2022 18:16,11/8/2022 18:33,18,13621.0,70872,110514,0,50000,40000,43,72,44621
483,CCS1,11/9/2022 17:45,11/9/2022 18:02,18,20844.0,131451,252297,1,10000,8000,20,60,49505
484,CCS1,11/9/2022 20:31,11/9/2022 20:48,18,37772.0,161505,353265,1,10000,8000,5,49,81553
514,CCS1,11/13/2022 18:02,11/13/2022 18:19,18,35848.0,161286,353265,1,10000,8000,7,49,81085
534,CCS1,11/16/2022 10:38,11/16/2022 10:55,18,12350.0,52473,179418,1,10000,8000,44,66,53330
559,CCS1,11/20/2022 9:38,11/20/2022 9:55,18,8975.0,40200,138441,1,10000,8000,26,63,23044
608,CCS1,2/17/2023 12:28,2/17/2023 12:45,18,14003.0,63648,110514,0,50000,40000,20,52,41571
670,CCS1,3/4/2023 3:16,3/4/2023 3:33,18,11807.0,76170,91782,0,10000,8299,55,93,29517
699,CCS1,3/10/2023 15:59,3/10/2023 16:16,18,13477.0,66573,110514,0,50000,40000,35,66,41300
713,CCS1,3/15/2023 19:04,3/15/2023 19:21,18,7180.0,39438,229743,1,10000,8000,78,89,62009
723,CCS1,3/17/2023 10:54,3/17/2023 11:11,18,20346.0,94059,353265,1,10000,8000,49,74,77315
726,CCS1,3/17/2023 15:52,3/17/2023 16:09,18,13428.0,56307,58836,1,10000,8000,49,81,39864
823,CCS1,4/5/2023 8:35,4/5/2023 8:52,18,25892.0,142257,353265,1,10000,8000,28,59,79372
1125,CCS1,7/3/2023 15:44,7/3/2023 16:01,18,23119.0,99114,353265,1,10000,8000,41,69,78467
1143,CCS2,4/16/2022 12:07,4/16/2022 12:24,18,7562.0,54999,57000,0,10000,8000,43,86,16707
1189,CCS2,5/17/2022 18:21,5/17/2022 18:38,18,24509.0,119364,159210,0,10000,8000,34,67,70556
1196,CCS2,5/19/2022 14:15,5/19/2022 14:32,18,8947.0,55524,259791,1,10000,8000,21,33,70830
1203,CCS2,5/21/2022 13:07,5/21/2022 13:24,18,17686.0,72330,174624,1,10000,8000,57,77,83967
1239,CCS2,6/7/2022 12:29,6/7/2022 12:46,18,32903.0,147996,159210,0,10000,8000,10,51,76239
1252,CCS2,6/10/2022 16:45,6/10/2022 17:02,18,17843.0,94656,122046,0,42000,33600,25,72,36066
1258,CCS2,6/11/2022 17:51,6/11/2022 18:08,18,25212.0,169428,174624,1,10000,8000,72,100,85510
1400,CCS2,10/27/2022 12:39,10/27/2022 12:56,18,13927.0,61263,92595,1,10000,8000,16,34,73504
1448,CCS2,11/5/2022 11:38,11/5/2022 11:55,18,20558.0,121983,259791,1,10000,8000,38,60,88773
1544,CCS2,2/25/2023 13:21,2/25/2023 13:38,18,19781.0,116283,270597,1,10000,8000,40,64,78300
1626,CCS2,3/24/2023 13:51,3/24/2023 14:08,18,23836.0,133938,191382,1,75540,60432,34,63,78082
1687,CCS2,4/8/2023 15:58,4/8/2023 16:15,18,11980.0,66204,312444,1,10000,8000,88,100,94842
1755,CCS2,5/16/2023 17:47,5/16/2023 18:04,18,9707.8,45936,53100,0,10000,8000,74,87,70942
1800,CCS2,6/12/2023 18:10,6/12/2023 18:27,18,33218.0,155469,312444,1,10000,8000,44,80,87659
1848,CCS2,6/24/2023 19:13,6/24/2023 19:30,18,22825.0,161994,191382,1,77300,61840,45,70,86739
1861,CCS2,6/29/2023 16:33,6/29/2023 16:50,18,35549.0,160452,270597,1,10000,8000,10,41,108940
84,CCS1,5/20/2022 8:45,5/20/2022 9:03,19,16345.0,73464,192417,1,80440,64352,64,81,91338
118,CCS1,5/25/2022 11:10,5/25/2022 11:28,19,30759.0,137853,160245,0,10000,8000,14,54,73053
132,CCS1,6/4/2022 15:30,6/4/2022 15:48,19,21706.0,94791,353265,1,10000,8000,53,79,79310
223,CCS1,6/21/2022 8:15,6/21/2022 8:33,19,13209.0,56826,58836,0,10000,8000,64,94,41842
279,CCS1,8/12/2022 7:30,8/12/2022 7:48,19,18475.0,127923,192417,1,80340,64272,60,80,87756
300,CCS1,10/14/2022 19:20,10/14/2022 19:38,19,10402.0,55491,57900,1,10000,8000,28,84,17646
308,CCS1,10/15/2022 16:55,10/15/2022 17:13,19,21097.0,133416,252297,1,10000,8000,24,67,46610
337,CCS1,10/21/2022 9:01,10/21/2022 9:19,19,22281.0,110622,353265,1,10000,8000,44,70,81411
433,CCS1,11/4/2022 14:22,11/4/2022 14:40,19,25598.0,123201,252297,1,10000,8000,10,55,54040
464,CCS1,11/7/2022 9:16,11/7/2022 9:34,19,35650.0,152937,177540,1,10000,8000,40,80,84669
489,CCS1,11/10/2022 17:40,11/10/2022 17:58,19,38320.0,169260,177540,1,10000,8000,35,80,80898
503,CCS1,11/12/2022 9:55,11/12/2022 10:13,19,31543.0,142875,192417,1,79300,39650,13,50,80989
511,CCS1,11/13/2022 15:23,11/13/2022 15:41,19,27369.0,147951,192417,1,79300,63440,18,50,81252
522,CCS1,11/15/2022 8:41,11/15/2022 8:59,19,16795.0,70437,353265,1,10000,8000,53,70,93854
577,CCS1,11/22/2022 17:47,11/22/2022 18:05,19,17333.0,69531,160245,1,10000,8000,9,47,43332
700,CCS1,3/13/2023 16:33,3/13/2023 16:51,19,38388.0,162222,353265,1,10000,8000,11,56,81041
711,CCS1,3/15/2023 16:01,3/15/2023 16:19,19,29312.0,145179,353265,1,10000,8000,28,61,84383
720,CCS1,3/16/2023 13:09,3/16/2023 13:27,19,19948.0,80535,353265,1,10000,8000,57,81,78928
739,CCS1,3/19/2023 4:15,3/19/2023 4:33,19,15480.0,75156,91782,0,10000,8299,30,87,25800
798,CCS1,4/1/2023 8:42,4/1/2023 9:00,19,13178.0,55758,353265,1,10000,8000,72,85,96227
847,CCS1,4/12/2023 17:49,4/12/2023 18:07,19,17985.0,75846,123081,0,42000,33600,25,73,35595
849,CCS1,4/13/2023 7:32,4/13/2023 7:50,19,21127.0,86520,160245,0,10000,8000,21,50,69209
868,CCS1,4/16/2023 17:06,4/16/2023 17:24,19,11712.0,55896,110514,1,50000,40000,47,73,42794
934,CCS1,5/12/2023 6:22,5/12/2023 6:40,19,22827.0,93069,224907,1,10000,8000,22,51,74778
955,CCS1,5/17/2023 16:59,5/17/2023 17:17,19,41368.0,168798,177540,1,10000,8000,34,80,85434
1020,CCS1,6/13/2023 1:27,6/13/2023 1:45,19,38763.0,161562,353265,1,10000,8000,3,49,80054
1062,CCS1,6/22/2023 14:25,6/22/2023 14:43,19,25761.0,133482,353265,1,10000,8000,38,73,69923
1080,CCS1,6/26/2023 12:54,6/26/2023 13:12,19,25831.0,134508,353265,1,10000,8000,42,77,70113
1103,CCS1,6/29/2023 8:24,6/29/2023 8:42,19,11272.0,50031,252297,1,10000,8000,60,80,53542
1122,CCS1,7/2/2023 19:14,7/2/2023 19:32,19,19638.0,94500,252297,1,10000,8000,26,63,50422
1158,CCS2,4/21/2022 8:45,4/21/2022 9:03,19,30618.0,139398,259791,1,10000,8000,23,60,78614
1160,CCS2,4/22/2022 8:41,4/22/2022 8:59,19,34158.0,154617,352230,1,10000,8000,14,51,87703
1185,CCS2,5/16/2022 14:21,5/16/2022 14:39,19,37991.0,169224,174624,1,10000,8000,42,85,83934
1297,CCS2,7/15/2022 9:56,7/15/2022 10:14,19,15877.0,65097,92595,1,10000,8000,55,75,75416
1365,CCS2,10/18/2022 17:56,10/18/2022 18:14,19,1847.0,13986,55773,0,10000,8000,71,89,9748
1477,CCS2,11/14/2022 17:33,11/14/2022 17:51,19,16827.0,60330,228708,1,10000,8000,21,53,49955
1548,CCS2,2/26/2023 15:08,2/26/2023 15:26,19,19240.0,87750,174624,1,10000,8000,55,85,60927
1572,CCS2,3/3/2023 17:46,3/3/2023 18:04,19,17331.0,66387,352230,1,10000,8000,54,74,82322
1680,CCS2,4/7/2023 2:38,4/7/2023 2:56,19,12513.0,64650,90747,0,10000,8299,50,92,28303
1690,CCS2,4/9/2023 11:48,4/9/2023 12:06,19,39343.0,169857,174624,1,10000,8000,26,74,77866
1697,CCS2,4/14/2023 13:08,4/14/2023 13:26,19,24357.0,104259,178383,1,10000,8000,2,43,56437
1741,CCS2,5/11/2023 19:57,5/11/2023 20:15,19,23851.0,141216,352230,1,10000,8000,22,49,83920
1784,CCS2,5/30/2023 7:40,5/30/2023 7:58,19,22762.0,112293,120222,0,10000,8000,36,62,83137
1829,CCS2,6/20/2023 23:52,6/21/2023 0:10,19,25358.0,129522,176505,1,10000,8000,52,90,63395
1857,CCS2,6/28/2023 15:23,6/28/2023 15:41,19,20673.0,89382,159210,0,10000,8000,48,75,72738
65,CCS1,5/16/2022 18:41,5/16/2022 19:00,20,38630.0,149832,367872,1,10000,8000,10,54,83406
107,CCS1,5/23/2022 14:30,5/23/2022 14:49,20,34472.0,159174,353265,1,10000,8000,20,66,71192
126,CCS1,6/3/2022 18:35,6/3/2022 18:54,20,4084.8,17286,24300,0,10000,8000,92,97,77611
131,CCS1,6/4/2022 10:37,6/4/2022 10:56,20,12514.0,87291,232965,1,10000,8000,81,100,62570
145,CCS1,6/6/2022 12:55,6/6/2022 13:14,20,18553.0,81402,353265,1,10000,8000,65,90,70501
176,CCS1,6/10/2022 21:13,6/10/2022 21:32,20,19557.0,102981,110514,0,50000,40000,42,82,46448
180,CCS1,6/11/2022 14:14,6/11/2022 14:33,20,25595.0,98790,353265,1,10000,8000,44,78,71515
184,CCS1,6/13/2022 21:53,6/13/2022 22:12,20,32426.0,158871,353265,1,10000,8000,26,70,70011
213,CCS1,6/18/2022 22:45,6/18/2022 23:04,20,7210.0,28146,30816,0,10000,8000,38,100,11048
344,CCS1,10/22/2022 10:17,10/22/2022 10:36,20,27679.0,141999,353265,1,10000,8000,29,62,79682
356,CCS1,10/23/2022 22:18,10/23/2022 22:37,20,15717.0,76167,91782,0,10000,8299,34,89,27148
360,CCS1,10/24/2022 11:38,10/24/2022 11:57,20,14042.0,59346,160245,0,10000,8000,30,62,41687
377,CCS1,10/26/2022 20:06,10/26/2022 20:25,20,18962.0,94014,353265,1,10000,8000,65,89,75058
380,CCS1,10/27/2022 14:25,10/27/2022 14:44,20,17645.0,78156,123081,1,42000,33600,26,72,36441
428,CCS1,11/4/2022 8:46,11/4/2022 9:05,20,25536.0,94290,353265,1,10000,8000,5,33,86640
471,CCS1,11/8/2022 7:45,11/8/2022 8:04,20,16822.0,87513,179418,1,10000,8000,10,36,61489
528,CCS1,11/15/2022 18:53,11/15/2022 19:12,20,15260.0,83097,252297,1,10000,8000,30,59,50007
562,CCS1,11/20/2022 15:52,11/20/2022 16:11,20,14942.0,58620,353265,1,10000,8000,57,74,83450
566,CCS1,11/21/2022 12:00,11/21/2022 12:19,20,12711.0,52506,110514,0,50000,40000,32,61,41639
575,CCS1,11/22/2022 15:01,11/22/2022 15:20,20,15914.0,68643,110514,0,50000,40000,17,53,41995
606,CCS1,2/17/2023 9:27,2/17/2023 9:46,20,4644.0,27582,229743,1,10000,8000,17,23,73530
741,CCS1,3/20/2023 15:48,3/20/2023 16:07,20,24430.0,109791,353265,1,10000,8000,44,75,74866
860,CCS1,4/14/2023 19:10,4/14/2023 19:29,20,33687.0,148392,225444,1,10000,8000,16,51,91436
909,CCS1,5/1/2023 19:29,5/1/2023 19:48,20,39367.0,161142,353265,1,10000,8000,8,56,77914
911,CCS1,5/2/2023 15:11,5/2/2023 15:30,20,12919.0,49026,108642,0,10000,8000,50,67,72194
944,CCS1,5/14/2023 16:50,5/14/2023 17:09,20,18131.0,92604,142737,1,10000,8000,41,70,59395
978,CCS1,5/23/2023 11:59,5/23/2023 12:18,20,27604.0,149577,252297,1,10000,8000,8,61,49479
989,CCS1,5/29/2023 15:55,5/29/2023 16:14,20,11644.0,56676,224907,1,10000,8000,86,100,79013
1009,CCS1,6/9/2023 16:38,6/9/2023 16:57,20,31374.0,156684,353265,1,10000,8000,28,67,76424
1039,CCS1,6/17/2023 9:44,6/17/2023 10:03,20,14345.0,65754,232965,1,10000,8000,75,96,64894
1069,CCS1,6/23/2023 14:54,6/23/2023 15:13,20,24473.0,118704,353265,1,10000,8000,47,81,68360
1101,CCS1,6/29/2023 0:06,6/29/2023 0:25,20,43602.0,169206,177540,1,10000,8000,29,80,81219
1140,CCS2,4/15/2022 13:16,4/15/2022 13:35,20,12194.0,51645,55773,1,10000,8000,25,50,46337
1172,CCS2,4/24/2022 10:27,4/24/2022 10:46,20,41841.0,170088,176505,1,10000,8000,32,80,82810
1212,CCS2,5/24/2022 16:05,5/24/2022 16:24,20,34466.0,167958,176505,1,10000,8000,56,91,93551
1228,CCS2,6/4/2022 21:24,6/4/2022 21:43,20,28458.0,163374,176505,1,10000,8000,68,99,87210
1278,CCS2,6/18/2022 17:08,6/18/2022 17:27,20,26700.0,115881,159210,0,10000,8000,34,70,70458
1287,CCS2,6/19/2022 21:04,6/19/2022 21:23,20,7376.0,27606,29781,0,10000,8000,37,100,11123
1308,CCS2,7/17/2022 16:59,7/17/2022 17:18,20,31131.0,137379,259791,1,10000,8000,33,71,77828
1325,CCS2,8/11/2022 15:55,8/11/2022 16:14,20,33204.0,145191,159210,0,10000,8000,4,46,75104
1495,CCS2,11/18/2022 11:45,11/18/2022 12:04,20,17938.0,77175,228708,1,10000,8000,48,81,51640
1542,CCS2,2/25/2023 9:36,2/25/2023 9:55,20,11025.0,42375,251262,1,10000,8000,63,80,61610
1612,CCS2,3/18/2023 18:30,3/18/2023 18:49,20,15832.0,60396,92595,0,10000,8000,23,44,71621
1625,CCS2,3/24/2023 11:46,3/24/2023 12:05,20,6689.0,49719,122046,1,42000,33600,75,89,45390
1657,CCS2,3/31/2023 16:16,3/31/2023 16:35,20,42328.0,170343,174624,1,10000,8000,34,81,85557
1689,CCS2,4/8/2023 19:19,4/8/2023 19:38,20,43140.0,165516,176505,1,10000,8000,6,55,83639
1702,CCS2,4/17/2023 19:12,4/17/2023 19:31,20,11577.0,44400,51612,0,10000,8000,44,81,29725
1731,CCS2,5/10/2023 8:44,5/10/2023 9:03,20,18363.0,74754,159210,1,10000,8000,36,61,69751
1746,CCS2,5/13/2023 8:49,5/13/2023 9:08,20,26560.0,100416,137406,0,10000,8000,27,64,68195
1749,CCS2,5/13/2023 17:15,5/13/2023 17:34,20,38684.0,158928,352230,1,10000,8000,13,61,76562
1791,CCS2,6/8/2023 11:45,6/8/2023 12:04,20,43133.0,168657,176505,1,10000,8000,31,80,83625
1818,CCS2,6/18/2023 9:05,6/18/2023 9:24,20,29056.0,122688,223872,1,10000,8000,25,63,72640
1840,CCS2,6/22/2023 18:48,6/22/2023 19:07,20,14072.0,51777,55773,0,10000,8000,25,61,37134
1858,CCS2,6/28/2023 16:18,6/28/2023 16:37,20,21388.0,120408,352230,1,10000,8000,36,64,72541
1859,CCS2,6/28/2023 18:29,6/28/2023 18:48,20,23616.0,93393,223872,1,10000,8000,39,70,72372
1867,CCS2,7/1/2023 16:54,7/1/2023 17:13,20,33626.0,155337,193395,1,68540,54832,24,70,69444
